,Site Name,Operator (or Applicant),Technology Type,Planning Authority,Planning Application Submitted
8292,"Garcrogo Hill And Barmark Hill, Corsock - Wind Farm & Battery Storage",EnergieKontor,Battery,Dumfries and Galloway,2022-09-16
8307,"Charrington Bowl, Kingston Road - Solar Panels",Mayfair Capital Property Unit Trust,Solar Photovoltaics,Kingston upon Thames,2022-09-27
8323,"Wallis Building Designs, Midgeland Road - Solar Panels",Wallis Building Designs,Solar Photovoltaics,Blackpool,2022-09-27
8327,"Ryton End, Barston - Battery Storage",Greenfield Energy Consultancy Limited,Battery,Solihull,2022-09-27
8332,Wull Muir Wind Farm,Energiekontor UK Limited,Wind Onshore,Scottish Borders,2022-12-16
8334,Progress Way - Solar Panels,Corbenyah Properties Limited,Solar Photovoltaics,Blackpool,2022-09-27
8336,"Stream Lane, Upleadon - Solar Photovoltaic Farm",Pathfinder Clean Energy UK Dev Limited,Solar Photovoltaics,Forest of Dean,2022-10-05
8337,"Pound Road, Hawkchurch - Battery Energy Storage",Enso Green Holdings B Limited,Battery,East Devon,2022-10-05
8356,East Witney Green Power  - Anaerobic Digestion Facility,Acorn Bioenergy Limited,Anaerobic Digestion,West Oxfordshire,2023-02-22
8391,"Bryn Y Plentyn Farm, Middleton - Wind Turbine",CR & GM Woollam & Son,Wind Onshore,Shropshire,2022-10-04
8410,"Green Lane & Cliff Lane, Gonerby Moor - Solar Farm",Lightsource BP,Solar Photovoltaics,South Kesteven,2023-04-12
8427,"Souber Dairy, Crossgates Farm - Solar Panels",JR Dodgson & Son,Solar Photovoltaics,North Yorkshire,2022-10-11
8428,Darlington Road - Solar Array,North Yorkshire County Council,Solar Photovoltaics,North Yorkshire,2022-09-30
8450,"The Ffaldau Waste Re Cycling Centre, Llandegley  - CHP",Powys Environmental Limited,EfW Incineration,Powys,2022-10-25
8460,"Lavant Pumping Station, Lavant Down Road - Solar Panels",Portsmouth Water Limited,Solar Photovoltaics,Chichester,2022-09-29
8473,"Sandhill Farm, Picketts Hill - Solar panels ",Knightsbridge Farms Limited,Solar Photovoltaics,East Hampshire,2022-10-31
8479,"Manor Farm, Denchworth - Solar Photovoltaic Panels",Renewable Connections Limited,Solar Photovoltaics,Vale of White Horse,2023-11-28
8492,"Watling Street, Caddington - Battery Storage",Chiltern Renewables Hockliffe Limited,Battery,Central Bedfordshire,2023-11-17
8496,"Burges Hill, Stoke St Michael - Solar Array Panels",Hiscox Solar Partnership,Solar Photovoltaics,Somerset,2022-11-03
8500,"Home Farm, Bedford Road  - Solar Power Array",Brayfield Farms Limited,Solar Photovoltaics,Milton Keynes,2022-11-04
8503,"Reepham Road, Horsford - Solar Farm",Pathfinder Clean Energy UKDev Limited,Solar Photovoltaics,Broadland,2023-08-09
8535,"Copeland Way, Ellough - Anaerobic Digestion Plant",Privilege Finance Limited,Anaerobic Digestion,East Suffolk,2022-11-16
8578,"The Old Vicarage, Reedley - Battery Storage",European Energy A/S,Battery,Pendle,2023-08-03
8584,"James And Sons, Johnstonebridge - Solar Panels",James & Sons Limited,Solar Photovoltaics,Dumfries and Galloway,2022-11-22
8585,"New Hall Farm, New Hall Lane - Solar Farm",Boom Developments Limited,Solar Photovoltaics,Wakefield,2023-10-05
8591,"Wessex Water Palmersford Sewage Treatment, Humber Road - Solar Panels",Wessex Water,Solar Photovoltaics,Dorset,2022-11-21
8592,"Alfred G Pearce, Castle Road - Solar Farm",A G Pearce Limited,Solar Photovoltaics,King's Lynn and West Norfolk,2022-11-28
8661,"Llanfendigaid, Rhoslefain - Solar Panels",Llanfendigaid Estate,Solar Photovoltaics,Gwynedd,2022-12-05
